x,j₀(x),j₁(x),j₂(x),j₃(x),y₀(x),y₁(x),j₀_scaled(x),j₁_scaled(x)
96.100000,0.0099964715,0.0029939693,0.0099932243,0.0099899770,0.0028899477,-0.0099663992,0.9999458594,0.9998375781
97.100000,0.0029387296,0.0099007407,0.0029377945,0.0029368594,0.0098704757,-0.0028370769,0.9999469688,0.9998409064
98.100000,-0.0066494362,0.0076585434,-0.0066473634,-0.0066452905,0.0077263256,0.0067281959,0.9999480444,0.9998441333
99.100000,-0.0099923260,-0.0015072503,-0.0099892736,-0.0099862212,-0.0014064195,0.0099781341,0.9999490877,0.9998472631
150.000000,-0.0047658429,-0.0046934443,-0.0047652074,-0.0047645721,-0.0046616720,0.0047347651,0.9999777778,0.9999333333
200.000000,-0.0043664865,-0.0024577708,-0.0043661590,-0.0043658316,-0.0024359384,0.0043543068,0.9999875000,0.9999625000
250.000000,-0.0038821121,-0.0009794817,-0.0038819257,-0.0038817394,-0.0009639532,0.0038782563,0.9999920000,0.9999760000
300.000000,-0.0033325195,0.0000625470,-0.0033324084,-0.0033322973,0.0000736554,0.0033327650,0.9999944444,0.9999833333
500.000000,-0.0009355436,0.0017658275,-0.0009355324,-0.0009355212,0.0017676985,0.0009390790,0.9999980000,0.9999940000
1000.000000,0.0008268795,-0.0005615522,0.0008268771,0.0008268746,-0.0005623791,-0.0008274419,0.9999995000,0.9999985000
